metric,baseline_mean,rpkoe_mean,difference,pct_change,ci_95_low,ci_95_high,mann_whitney_p,significant_5pct
rider_wait_mean,8.9159,7.8844,-1.0315,-11.57,-1.0823,-0.9482,0.0,True
rider_wait_p50,8.5371,7.1376,-1.3995,-16.39,-1.4679,-1.2758,0.0,True
rider_wait_p90,17.3143,16.0978,-1.2165,-7.03,-1.3372,-1.0564,0.0,True
rider_wait_p95,20.6447,19.5564,-1.0882,-5.27,-1.2048,-0.8396,0.0,True
eta_error_mean,3.5128,3.7987,0.2859,8.14,0.2573,0.3068,0.0,True
eta_error_p50,2.7408,3.0284,0.2875,10.49,0.2546,0.3164,0.0,True
eta_error_p90,7.4884,8.0379,0.5495,7.34,0.4816,0.6585,0.0,True
late_rate_3min,0.7823,0.7501,-0.0322,-4.12,-0.0347,-0.0286,0.0,True
late_rate_5min,0.7039,0.6381,-0.0658,-9.35,-0.0697,-0.0591,0.0,True
food_wait_mean,0.8475,0.8522,0.0047,0.56,0.0032,0.0064,0.424883,False
safety_buffer_mean,3.0,14.0391,11.0391,367.97,10.5271,11.5879,0.0,True
assign_delay_mean,0.0,1.0362,1.0362,0.0,0.9514,1.0876,0.0,True
dispatch_cost_mean,10.0893,9.0095,-1.0798,-10.7,-1.134,-0.9918,0.0,True
decision_volatility_mean,0.0,2.0184,2.0184,0.0,1.9227,2.0913,0.0,True
