system,metric,mean,std,ci_95_low,ci_95_high
Baseline,rider_wait_mean,8.9159,0.1329,8.7177,9.1459
RPKOE,rider_wait_mean,7.8844,0.1334,7.6705,8.1218
Baseline,rider_wait_p50,8.5371,0.1115,8.3611,8.697
RPKOE,rider_wait_p50,7.1376,0.1217,6.9193,7.3409
Baseline,rider_wait_p90,17.3143,0.3006,16.8848,17.8287
RPKOE,rider_wait_p90,16.0978,0.2836,15.644,16.5476
Baseline,rider_wait_p95,20.6447,0.3105,20.17,21.1541
RPKOE,rider_wait_p95,19.5564,0.3192,18.9873,20.0822
Baseline,eta_error_mean,3.5128,0.0701,3.4109,3.6435
RPKOE,eta_error_mean,3.7987,0.0809,3.6767,3.9493
Baseline,eta_error_p50,2.7408,0.0613,2.6582,2.8606
RPKOE,eta_error_p50,3.0284,0.065,2.9288,3.1456
Baseline,eta_error_p90,7.4884,0.16,7.2522,7.7749
RPKOE,eta_error_p90,8.0379,0.1808,7.7786,8.3713
Baseline,late_rate_3min,0.7823,0.004,0.7758,0.789
RPKOE,late_rate_3min,0.7501,0.0041,0.7445,0.757
Baseline,late_rate_5min,0.7039,0.0054,0.6955,0.7136
RPKOE,late_rate_5min,0.6381,0.0067,0.6266,0.6489
Baseline,food_wait_mean,0.8475,0.0254,0.802,0.8929
RPKOE,food_wait_mean,0.8522,0.0254,0.8061,0.8974
Baseline,safety_buffer_mean,3.0,0.0,3.0,3.0
RPKOE,safety_buffer_mean,14.0391,0.29,13.5271,14.5879
Baseline,assign_delay_mean,0.0,0.0,0.0,0.0
RPKOE,assign_delay_mean,1.0362,0.0389,0.9514,1.0876
Baseline,dispatch_cost_mean,10.0893,0.1374,9.884,10.3276
RPKOE,dispatch_cost_mean,9.0095,0.138,8.7897,9.2552
Baseline,decision_volatility_mean,0.0,0.0,0.0,0.0
RPKOE,decision_volatility_mean,2.0184,0.0465,1.9227,2.0913
