system,rider_wait_mean,rider_wait_p50,rider_wait_p90,rider_wait_p95,eta_error_mean,eta_error_p50,eta_error_p90,late_rate_3min,late_rate_5min,food_wait_mean,rider_idle_mean,for_noise_std,residual_drift_mean,residual_drift_std,safety_buffer_mean,safety_buffer_std,assign_delay_mean,assign_delay_std,dispatch_cost_mean,dispatch_cost_std,calibration_coverage_p90,calibration_error,decision_volatility_mean,decision_volatility_max,congestion_volatility_mean,run_id,mri_mean,mri_std,kvi_mean,kvi_std
Baseline,8.786302595517245,8.40841760918633,17.03794269433109,20.47827202861282,3.4367969476167666,2.653561611181603,7.347178693984156,0.78025,0.7009,0.864882620984732,0.864882620984732,1.81861328923414,0.0,0.0,3.0,0.0,0.0,0.0,9.956677595517245,7.0564285489781104,,,0.0,0.0,,0,,,,
RPKOE,7.716890557589688,6.92986131604701,15.797179741904205,19.40451787121503,3.7136767796417,2.9658234892839435,7.861824037507463,0.74725,0.6312,0.8687451772464181,0.8687451772464181,1.81861328923414,0.08035797928218852,1.0435656282128976,13.657345728337427,6.559804584245983,1.0732745941892465,2.348933743806198,8.837765557589687,6.780313105650653,0.95475,0.054749999999999965,2.0208844591030717,7.663382026891861,0.0879634383006464,0,0.6180985960567317,0.032697538051609965,6.492190933169248,3.5115801160490347
Baseline,9.009193052703903,8.552401904159648,17.777917949270094,21.148356957259445,3.5345145417151462,2.77748402015858,7.533149047601896,0.7785,0.7007,0.8658971372912445,0.8658971372912445,1.921442863980813,0.0,0.0,3.0,0.0,0.0,0.0,10.176943052703903,7.262634126695864,,,0.0,0.0,,1,,,,
RPKOE,7.993278319834373,7.167281661661363,16.52620800038304,20.010984799171617,3.826773800906918,3.053632569622618,8.075258785366731,0.74705,0.63915,0.8713462117362709,0.8713462117362709,1.921442863980813,0.1432125468307279,1.0891280494599749,14.215910452294999,6.674590333531272,1.0213638073145557,2.356331655403071,9.113853319834373,6.994407897594069,0.9596,0.059599999999999986,2.0121363255270364,7.588715165929712,0.09153738111692203,1,0.6160633775253266,0.033790790030281286,6.727771408031302,3.4920796508263208
Baseline,8.92988679191889,8.604258473550288,17.272943973392163,20.761774339987255,3.523416592069103,2.7474566089324455,7.507180880039145,0.78045,0.70465,0.8637531940043962,0.8637531940043962,1.914089824257154,0.0,0.0,3.0,0.0,0.0,0.0,10.10056179191889,7.10151211357652,,,0.0,0.0,,2,,,,
RPKOE,7.892754643586412,7.175023716347525,16.06341183484042,19.668177433824653,3.809082258715475,3.0410498753638535,8.05563596502469,0.7469,0.6389,0.8700182973536296,0.8700182973536296,1.914089824257154,0.20780639990722694,1.0234500875975543,14.122015447244962,6.475748182139575,1.0433972516817098,2.304077133166327,9.013104643586411,6.862808901730105,0.95665,0.05664999999999998,2.0166900509447463,7.3275745650251904,0.08873788453451135,2,0.6163355738148133,0.033363044402260185,6.678467923153593,3.4249977897797432
Baseline,8.82552598714036,8.501632794369959,17.08216641141889,20.27082521089914,3.4438394875409264,2.7074894941608427,7.293534931841405,0.7823,0.70285,0.8335348135154454,0.8335348135154454,1.7680533523033874,0.0,0.0,3.0,0.0,0.0,0.0,9.998975987140362,6.996662228635609,,,0.0,0.0,,3,,,,
RPKOE,7.901060389869841,7.229759937490343,16.057989577650236,19.4701595905166,3.700752229417178,2.980595833457669,7.81510664579211,0.7543,0.64595,0.8362091143823629,0.8362091143823629,1.7680533523033874,0.18635790321105536,1.103436856367031,13.999244271023935,6.300182510733068,0.9271398981374372,2.178008284997224,9.03251038986984,6.759870790290582,0.9543,0.054300000000000015,1.8846393254796765,6.762035043824588,0.09180456756033345,3,0.6198294474082044,0.032054855648195456,6.62392475637222,3.266147966057087
Baseline,8.901459983397071,8.54588797102933,17.240107794044796,20.493655972157896,3.4858525468499515,2.703481773604757,7.502232160788999,0.78515,0.70565,0.8036491141610982,0.8036491141610982,1.870922391673769,0.0,0.0,3.0,0.0,0.0,0.0,10.079184983397072,7.062310208544185,,,0.0,0.0,,4,,,,
RPKOE,7.897092622429508,7.174581183349062,16.022508548728553,19.3839480128086,3.7699944099286995,2.9898873783362685,7.98523381192145,0.75315,0.64055,0.8075807698188804,0.8075807698188804,1.870922391673769,0.12772692663053178,1.0933655898038102,14.06316559411845,6.477080553440291,1.008299016625348,2.2901423598770583,9.026817622429508,6.812469752209081,0.9556,0.05559999999999998,1.9843017508856426,7.74606444563829,0.09144881227021963,4,0.6176490187790651,0.033907797888594805,6.64001306186742,3.35827536741891
Baseline,8.987060084750986,8.592886858331127,17.446569448533467,20.95047729865315,3.5616539832313503,2.757353751430365,7.62316221192469,0.77955,0.7042,0.8573402646154391,0.8573402646154391,1.9427642069434192,0.0,0.0,3.0,0.0,0.0,0.0,10.156385084750987,7.250400615873177,,,0.0,0.0,,5,,,,
RPKOE,7.948085337206858,7.161606694135976,16.229064397638087,19.786700416200166,3.8507501367856762,3.0292156740080003,8.1600765525746,0.74745,0.6372,0.8618226011970244,0.8618226011970244,1.9427642069434192,0.15735278028010297,1.1070060134274888,14.157845041714062,6.810161635538691,1.0434570841257145,2.3392654215852073,9.069260337206858,6.991639057193558,0.9573,0.05730000000000002,2.0649529027145,6.129285235413779,0.0908153628502822,5,0.61634131995865,0.03443868104487579,6.689860020981202,3.5620567284758224
Baseline,8.8254169455047,8.452119305433513,17.28645439659003,20.554396630516266,3.4714034082375305,2.6698926883731744,7.439612819277841,0.77605,0.69475,0.892719345600007,0.892719345600007,1.8736200596960555,0.0,0.0,3.0,0.0,0.0,0.0,9.9894919455047,7.165785490112128,,,0.0,0.0,,6,,,,
RPKOE,7.813112179369302,6.9960587958570954,16.130186091080596,19.671865233105358,3.744598080261663,2.9145513963154945,7.978856255623615,0.74365,0.6261,0.8980034077618791,0.8980034077618791,1.8736200596960555,0.1351940934839802,1.1051282604780757,13.962219873238247,6.7308036175305705,1.0175888282972703,2.314653733435809,8.928587179369302,6.920640376720101,0.95605,0.05604999999999993,2.023663336101103,6.550493207369938,0.09195193217863099,6,0.6177868660982665,0.03308286664232917,6.600830054645571,3.508536619012168
Baseline,8.756555200370846,8.416227462526528,16.889186707258393,20.17808312860027,3.414797020371839,2.673511861098975,7.262636933430703,0.777,0.69955,0.8417911675436659,0.8417911675436659,1.7462792324067342,0.0,0.0,3.0,0.0,0.0,0.0,9.922055200370847,6.981910002669046,,,0.0,0.0,,7,,,,
